BRANCH,Walker,Albany Park,Avalon,Brainerd,Portage-Cragin,Little Italy,Edgebrook,Kelly,Edgewater,North Austin,Canaryville,"Daley, Richard J.",Manning,Pullman,"Whitney M. Young, Jr.",Greater Grand Crossing,Sherman Park,Altgeld,West Lawn,Back of the Yards,Scottsdale,Garfield Ridge,King,Water Works,"Daley, Richard M.",Humboldt Park,Thurgood Marshall,Blackstone,North Pulaski,West Town,Budlong Woods,Lincoln Park,West Englewood,Archer Heights,Hegewisch,Independence,Lozano,Sulzer Regional Library,Chinatown,Douglass,Logan Square,Rogers Park,Galewood-Mont Clare,West Belmont,Bucktown-Wicker Park,Northtown,Merlo,West Pullman,Beverly,Legler Regional,Toman,Austin,Wrightwood-Ashburn,Jefferson Park,McKinley Park,South Shore,Clearing,Mount Greenwood,Uptown,Chicago Lawn,Harold Washtington Library Center,Brighton Park,West Chicago Avenue,Little Village,Lincoln Belmont,Gage Park,Oriole Park,Dunning,Bezazian,West Loop,Roden,Jeffery Manor,Hall,Near North,Coleman,Austin-Irving,Woodson Regional Library,Mayfair,Chicago Bee,Vodak-East Side,South Chicago
Chinatown,5214.1,4638.1,3926.3,3866,4395.6,1144.7,6067.7,2318.7,4676.3,4374.7,1362.8,834.4,1837.5,4954.2,3283.8,3183.8,2160.9,6449.5,3902.2,2235.4,4824.9,4297,1017.3,1613.6,2761.9,3002.7,3148.4,2215.5,3578.8,2074.4,4618,2583.5,2877.2,2855.4,7091.9,4210,812,3774.6,0,2103.3,3152.6,4964.6,5313.9,4982.3,2476.5,5045.2,3056.9,5406.4,4535,2751.9,2438.5,3773.4,4644.9,4977.6,1240.6,3631.4,5208.7,5792.3,3616.8,3435.2,820.7,2078.8,3563.9,1902.6,3242.2,2923,6423.8,5693.7,4093.6,1414.1,6063.2,5076.5,1733.3,1903.8,2621,5053.4,4332.8,4761,1113.4,4792.7,4828.4
Douglass,5907.3,3428.4,5799.5,4761.7,2975.7,1169.1,4658.3,3814.3,4584.8,2433.1,2810.1,2243.5,1192.2,6650.4,5127.2,5057,3245,7676.8,2854.5,2358,3926.6,3532.5,2888,2568.3,1003.8,1466.3,4272.3,4082.2,1747.5,1692.4,3879.8,2722.1,3429.1,2138.6,8958.6,2829.9,1361.6,3358,2072,0,1925.3,4839.2,3372.3,3417.6,1982.8,4493.7,3457.7,6291.4,5049,802.2,931.3,1831.8,4320.2,3568.2,1780.5,5498.1,3973.6,5822.4,3859.3,2936,2148.4,1747.9,1622.3,601.2,2997.5,2388.5,5014.4,4180,4034.4,1474.7,4653.8,6949.7,3439.9,2483.2,4494.2,3644,5639,3351.6,2839.7,6488.9,6695.1
Logan Square,7788.9,1723.8,6880.3,6440.8,1485,2311.6,3157.1,4941.8,2764.4,1829.7,3937.6,3409.2,1601.9,7777.9,6237.8,6137.8,4735.7,9273.2,4743.8,4050,5815.9,5421.8,3971.3,2304.2,998.3,622.3,5723.2,5169.5,1110.8,1431.4,2072.3,1247.6,5121.1,4027.9,9934.5,1295.7,2605.8,1565.7,3036.1,1925.5,0,3109.8,2411,2071.7,698,2686.2,1676.3,7981.2,7109.8,1846.4,2820.6,2355.9,6086.9,2067,3101.6,6474,5862.9,7589.1,2084.7,4702.7,2496.9,3514.6,1852.6,2360.2,1219.7,4155.2,3513.2,2783.1,2255.8,1968.4,3152.6,8022.5,4567.4,1812.4,5575,2142.8,6907.6,1850.4,3973.2,7616.4,7671
Rogers Park,9789.8,1745.2,8736.1,8441.7,3630.9,4577.9,2518.6,6942.7,737.2,4704.5,5938.5,5410.1,3930.3,9764,8093.6,7993.6,6736.6,11259.3,7697.8,6312.9,8800.5,8190.6,5827.1,3840.4,3915.4,3496.5,7724.1,7025.3,3987,3697.7,1193.8,2587.2,7452.9,6796.7,11749.5,2544.8,4868.7,1676,5055.1,4842.6,3065.8,0,5007.3,4272.9,3056.2,442.1,2359.4,9982.1,9110.7,4763.5,5589.4,5230.7,8615,2917.5,5364.5,8289,8631.7,10141.6,1718.9,7230.8,4289.1,6238.4,4727,5104.6,2275.7,6683.3,3941.2,4683.8,1251.6,4086.5,3523.4,9837.5,6454.1,3415,7430.8,3713.9,8908.5,2446.1,5892.8,9602.5,9486
Galewood-Mont Clare,8925.1,3283.1,8803.6,8102.6,1426.9,4295.1,2946.9,6865.1,4772.7,988,5860.9,5517.6,3550.5,9701.2,8161.1,8061.1,6580.7,10956.7,5443.9,5693.7,6516,4728.9,5894.6,4225.1,2649.2,2263.6,7506.4,7092.8,1702.2,3354.7,3956.5,3291.7,6764.8,4873.7,11857.8,2719.1,4597,3535.7,4959.4,3356.4,2334.3,4995.7,0,744.6,2621.3,4572.1,3634.5,9571.3,8328.9,2721.9,3711.5,1634,7142.4,2079.3,5116.2,8397.3,5170,8396.4,4042.9,5790.4,4420.2,5027.8,1846.3,3893.5,3177.9,5668.4,1947.1,992.2,4223.8,4059.2,2334.8,9945.8,6490.7,3733.3,7498.3,1355.4,8989.8,2590.2,5896.5,9539.7,9594.3
West Belmont,9232.8,2554.2,8717.8,8278.3,708.1,4149.1,2220.6,6779.3,4025.6,1092.1,5775.1,5246.7,3439.4,9615.4,8075.3,7975.3,6573.2,11110.7,5627.3,5739.3,6699.4,4912.3,5808.8,4257.4,2729.7,2344.1,7560.7,7007,1782.7,3268.9,3229.3,3010.9,6810.4,5057.1,11772,1993.4,4443.3,2835.4,4873.6,3402,2052.3,4268.5,758.9,0,2535.5,3844.9,3047.2,9616.9,8374.5,2767.5,3757.1,1738.1,7325.8,1350.4,5161.8,8311.5,5353.4,8579.8,3455.6,5973.8,4334.4,5073.4,1904.3,3939.1,2590.6,5714,1730.9,780.1,3494.4,3805.9,1721.1,9860,6404.9,3765.6,7412.5,627.7,8745.1,1861.3,5810.7,9453.9,9508.5
Bucktown-Wicker Park,7132.8,2195.2,6224.2,5784.7,1952.7,1655.5,3624.8,4285.7,2657.8,2111.6,3281.5,2753.1,1021.4,7121.8,5581.7,5481.7,4079.6,8617.1,4643,3393.9,5881.5,5321,3315.2,1764.5,1082.4,653.3,5067.1,4513.4,1398.4,775.3,2407.9,914.6,4465,3927.1,9278.4,1767.1,1949.7,1564.5,2380,1972.2,709.7,2912.2,2631.8,2539.4,0,2835.1,1530.7,7325.1,6453.7,1909.6,2719.8,2504.6,5696,2534.7,2445.5,5817.9,5762.1,7222.6,1932.3,4311.8,1840.8,3319.4,1963.6,2235,1070.5,3764.3,3980.9,3250.8,2107.4,1312.3,3620.3,7366.4,3911.3,1272.7,4918.9,2610.5,6251.5,2318.1,3317.1,6960.3,7014.9
Northtown,9732.2,1322.7,8743.7,8384.1,3208.4,4400.9,2157.1,6885.1,1028.7,4282,5880.9,5352.5,3753.3,9721.2,8101.2,8001.2,6679,11216.5,7238.4,6135.9,8623.5,7916.4,5834.7,3848,3492.9,3074,7666.5,7032.9,3564.5,3520.7,771.3,2594.8,7395.3,6522.5,11757.1,2122.3,4691.7,1410.1,4979.4,4420.1,2643.3,451.5,4584.8,3850.4,2879.2,0,2557.1,9924.5,9053.1,4341,5315.2,4808.2,8438,2495,5187.5,8296.6,8357.5,9964.6,2010.4,7053.8,4296.7,6061.4,4304.5,4927.6,2105.1,6506.3,3518.7,4261.3,1543.1,3944.4,3100.9,9845.1,6510.7,3422.6,7438.4,3291.4,8850.9,2023.6,5916.5,9559.7,9493.6
Merlo,7654.8,2113.3,6554.2,6306.7,2434.6,2542.8,3750.5,4807.7,1720.8,3354.7,3803.5,3275.1,2413.1,7582.1,5911.7,5811.7,4601.6,9077.4,6157.3,4676.1,7265.6,6647.1,3645.2,1596.3,2554.3,2106.7,5589.1,4843.4,2637.2,1954.1,2085.5,735.1,5317.9,5253.2,9567.6,1958.2,2761.6,1242.1,2873.2,3459.6,1681.2,2126.4,3657.5,3101.5,1546,2512.7,0,7847.1,6975.7,3397,4045.9,3880.9,7085.6,2870.6,3759.5,6107.1,7088.2,8233,727.7,5690.3,2107.2,4697.9,3377.2,3561.1,597,5142.8,4274,3640.2,1190.7,1908.3,4001.3,7655.6,4272.2,1280,5248.9,2999.9,6773.5,2399.2,3710.9,7420.6,7304.1
West Pullman,1182.5,9380.8,3188.7,1773.6,9138.3,5872.1,10810.4,3268.7,9304.1,8710.4,4162,4559.8,6536.6,1087.7,2752.3,3382.1,3546.4,1543.8,4208.7,4194.2,3633.9,5981.2,5048.5,7024.4,7464.1,7811.6,2461.7,4810,8078.7,6817.1,9360.7,7326.2,3331.9,4972.2,3154.3,8952.7,5478.8,8517.3,5295,6353.7,7895.3,9592.4,9649.6,9725,7219.2,9787.9,7666,0,1632.1,7087.4,6058.6,8109.1,2789.5,9720.3,4807.7,4027.2,5429,1677.8,8225.9,3897.1,6075.7,4790.2,7899.6,5846.4,7816.8,3984.2,11166.5,10436.4,8721.4,6156.8,10805.9,2427.1,4279.3,6939.3,3730.1,9796.1,1574.8,9503.7,4889.9,1382.5,3404
Beverly,1052.1,8541.6,2406.2,691.5,7993.5,5032.9,9784.5,2480.7,8464.9,7450.9,3330.4,3720.6,5697.4,1862.4,1947.7,2565.3,2609.4,3003.6,2949.2,2934.7,2106.1,4546.9,4257.3,6185.2,6059.2,6521.7,1481.7,3924.8,6819.2,5977.9,8521.5,6487,2071.5,3712.7,4627.6,8113.5,4639.6,7678.1,4455.8,5094.2,7056.1,8753.2,8390.1,8435.4,6380,8948.7,6826.8,1618.2,0,5827.9,4799.1,6849.6,1200.5,8694.4,3648.9,3319.3,3994.7,1475.4,7386.7,2637.6,5236.5,3530.7,6640.1,4586.9,6977.6,2724.7,10140.6,9197.8,7882.2,5317.6,9780,3286.4,3473.9,6100.1,2844.9,8759.2,1072.5,8477.8,4050.7,1843.5,3373.2
Legler Regional,6587,3263.5,6493.3,5502.4,2292.8,1744.9,4194.1,4508.1,4482.1,1750.2,3503.9,2937.3,1124.9,7344.2,5821,5750.8,3975.9,8356.5,3247.4,3088.9,4319.5,3925.4,3581.8,2728.3,896.8,1394.8,4906.2,4776,1181.8,1766.7,3719.4,2747.2,4160,2531.5,9635.2,2675.9,2016.7,3283.4,2727.1,776.9,1853.8,4758.6,2689.4,2734.7,1916.7,4335,3395.2,6971.1,5728.7,0,1324.2,1148.9,4999.9,3135.3,2511.4,6174.7,4366.5,6502.1,3803.6,3464.5,2346.8,2427.6,939.4,1292.5,2938.6,3068.2,4449,3497.1,3973.5,1633.6,4285.6,7643.5,4133.7,2643.2,5188,3058.5,6409.5,3049.2,3533.5,7182.7,7371.7
Toman,5588.1,4306.2,5677.9,4503.5,3517,1829.9,5431.8,3680.6,5170.8,2974.4,2677.7,2239.4,1863.1,6329.3,4993.5,4935.4,2928.1,7357.6,2075.3,2044.5,3147.4,2753.3,2976.9,3229.1,1860.8,2335.6,3907.3,4041.2,2303.9,2353.2,4762.1,3382.9,3165.9,1359.4,8644,3718.6,1685.2,4077.5,2419.2,895.5,2794.6,5425.2,3913.6,3958.9,2696.3,5377.7,4028.8,5972.2,4729.8,1351.4,0,2373.1,3779.5,4359.5,1646,5474.3,3194.4,5027.8,4482.7,2292.4,2813.5,1428.7,2163.6,665.6,3583.5,2069.3,5673.2,4721.3,4620.4,2135.5,5509.8,6828.1,3318.3,3144,4372.6,4282.7,5321.5,4125.1,2673.9,6167.6,6671.3
Austin,7664,3549.3,7550.4,6579.4,1664.6,2771.9,3303.1,5565.2,4995.2,679,4561,3994.4,2027.3,8401.3,6878.1,6807.9,5057.5,9433.5,4132.4,4170.5,5204.5,3793.4,4638.9,3557.4,1631.6,1944,5983.2,5833.1,1326.8,2526.5,4184,3273.2,5241.6,3416.5,10689.3,2968.3,3073.8,3763.7,3779.7,1833.2,2349.2,5223.2,1633.3,1732,2503.6,4799.6,3857,8048.1,6805.7,1198.7,2188.3,0,6076.9,2507.1,3593,7228.8,4234.5,7579.1,4265.4,4349.5,3249.2,3504.6,664.7,2370.3,3400.4,4145.2,3459.2,2493.9,4446.3,2536,3374,8700.6,5190.8,3472.3,6245.1,2175.5,7466.6,2894.7,4590.6,8239.8,8425.8
Wrightwood-Ashburn,1942.5,7831.9,2858.6,1392.9,6897.9,4747.7,8688.9,2596.3,8191.4,6355.3,3446,3836.2,4848.2,2944.1,2182,2799.1,2647.9,4085.3,1696.5,2693.3,949.2,3470.1,4372.9,6300.8,4963.6,5426.1,1588.4,4220.6,5723.6,5376.9,7941.5,6406.6,2065.3,2450.5,5709.3,6975.7,4337.5,7098.1,4571.4,3998.6,6346.4,8445.8,7155.9,7348.1,5670.3,8368.7,6942.4,2699.9,1194.4,4732.3,3785.5,5754,0,7598.8,3375.9,3554.9,2917.9,1586.4,7506.4,1465.2,5352.1,2438.9,5544.5,3491.3,6604.1,1943.9,8987.8,8043.1,7641,5159.2,8684.4,4046.2,3589.5,6215.7,3151.9,7663.6,2192.7,7382.2,4166.3,2925.2,3777.5
Jefferson Park,9654.9,1203.8,8746.3,8306.8,980.2,4177.6,1038.7,6807.8,2675.2,1848.6,5803.6,5275.2,3467.9,9643.9,8103.8,8003.8,6601.7,11139.2,6091.3,5886.2,7163.4,5982.7,5837.3,4151.7,2813.8,2427.4,7589.2,7035.5,2119,3297.4,1878.9,2898.5,6957.3,5375.4,11800.5,1232.3,4471.8,1694.6,4902.1,3539.3,2073.6,2918.1,2096.5,1355.4,2564,2494.5,2860.8,9847.2,8541.3,3157.6,4147.2,2502.8,7812.5,0,5308.7,8340,6423.8,9314.7,2461.3,6308.4,4362.9,5240.2,2294.4,4093.5,2408.8,5880.8,1403.4,1766.3,2144,3834.4,1167.1,9888.5,6433.4,3726.3,7441,787.9,8773.6,510.9,5839.2,9482.4,9537
McKinley Park,4558.9,4599.4,4167.1,3181.1,4662,1471.6,6357.1,2169.8,4958.9,4119.4,1166.9,807.9,1615.7,4976.7,3482.7,3424.6,1574.9,6349.3,2551.5,1144.6,3621.5,3183.7,1545.4,3060.2,2525.4,3003.4,2602.2,2530.4,3469.9,2144.4,4709,3174.1,1931.9,1742.1,7133.2,4171.3,1078.3,3865.6,1246.5,1737.6,3113.9,5213.3,5058.6,5103.9,2437.8,5136.2,3701.8,4963.9,3700.6,2481.9,1545.4,3518.1,3436,5267,0,3963.5,3858,4834.2,4273.9,2084.5,2027.2,965.5,3308.6,1299.8,3371.6,1537,6713.2,5866.3,4408.5,1928.6,6352.6,5317.3,1807.5,2975.1,2861.8,5427.7,3968.9,5050.4,1242.4,4815,5160.5
South Shore,3877,8000.5,961.7,2633,7799.7,4576.3,9471.8,2076.2,7922.7,7806.3,3028.2,3411.4,5268.3,3103.7,1472,845.2,2819.8,4197.1,3750.6,3663.3,4003.4,5522.9,2732.8,4860,6193.5,6406.8,2219.1,1634.1,6982.9,5511.8,7972.7,5946.8,2770.5,4514.9,3656.2,7614.1,4241.7,7129.3,3625.4,5491.1,6556.7,8211,8745.5,8386.4,5880.6,8399.9,6303.3,4084.2,3283.9,6186.1,5370.3,7205,3602.8,8381.7,4022.1,0,4970.7,4455.2,6863.2,3439.8,4067.1,4331.9,6995.5,5091.6,6488.6,3525.9,9827.9,9097.8,7340,4851.5,9467.3,1685.6,2396.3,5150.2,1428.1,8457.5,2832.3,8165.1,2829.2,2804.4,1298.4
Clearing,4766.9,7356.8,4972.3,3899.6,5759.8,4835.7,7479.7,3542.4,8176.6,4708.6,4179.4,4441.4,4868.9,5725.4,4276.4,4229.8,3361.5,6753.7,1465.3,3272.7,2348.2,700.5,5125.1,6234.9,4911.4,5386.2,3303.4,5142.3,5356.8,5359,7812.7,6388.7,2967.8,2013,7938.4,6769.2,4778.4,7083.3,4957.5,3946.1,5845.2,8431,5258.2,5450.4,5702.1,8353.9,7034.6,5368.3,4029.3,4404.3,3188.7,4197.7,2984.2,6602.3,3816.2,4952.5,0,4228.6,7488.5,2027.8,5738.2,2895.1,4762.4,3544.1,6589.3,2475.2,7090.1,6145.4,7626.2,5141.3,7171.5,6122.5,4511.2,6149.8,4065.6,6071.6,4717.6,6989.9,4899.7,5563.7,5853.8
Mount Greenwood,821.8,9254.2,3605,2042.6,8635,6170,10426,3669.5,9613.7,8092.4,4562.8,4960.6,6270.5,2175.7,3146.5,3764.1,3848.8,3120.4,2959.9,3894.2,2308.5,4743.9,5463.5,7425.2,6700.7,7163.2,2787.5,5123.6,7460.7,6799.2,9363.8,7727,3266.2,3739.4,4281.8,8826.1,5879.6,8520.4,5695.8,5735.7,7768.7,9868.1,8431.8,8624,7092.6,9791,8066.8,1685.3,1442.8,6469.4,5074.4,7491.1,1624.3,9335.9,4798.2,4518.1,4191.7,0,8626.7,3015.4,6476.5,4172.2,7281.6,5228.4,8026.4,3366.2,10263.7,9319,9063.3,6557.6,10421.5,4113.3,4680.1,7340.1,4043.7,9400.7,1988.3,9119.3,5290.7,2110.6,4200.1
Uptown,8202.9,1707.7,7165.7,6854.8,2843.4,3090.9,3381.6,5355.8,1112.8,3763.5,4351.6,3823.2,2814,8193.6,6523.2,6423.2,5149.7,9688.9,6602.9,5224.2,7705.6,7092.7,4256.7,2171.1,2963.1,2515.5,6137.2,5454.9,3046,2399.7,1641.1,1118.6,5866,5698.8,10179.1,1780.4,3309.7,930,3484.7,3853.5,2090,1749.2,4066.3,3510.3,1939.9,2024.4,734.6,8395.2,7523.8,3790.9,4491.5,4289.7,7633.7,2501.7,4307.6,6718.6,7533.8,8781.1,0,6135.9,2718.7,5143.5,3786,4006.7,975.3,5588.4,3905.1,4049,538.3,2456.4,3632.4,8267.1,4883.7,1828.1,5860.4,3298.1,7321.6,2030.3,4322.4,8032.1,7915.6
Chicago Lawn,3263.2,6062.5,3458.1,2385.4,5572.2,3370.3,7363.2,1662.6,6814,5029.6,2249.2,2639.4,3470.8,4211.2,2762.2,2715.6,1431.3,5239.5,541.8,1342.5,1578.9,2425.5,3194.9,4940,3637.9,4100.4,1789.2,3130.5,4397.9,3999.5,6564.1,5029.2,1042.7,1163.7,6424.2,5650,2960.1,5720.7,3139.8,2672.9,4559.4,7068.4,5862.8,6014.1,4292.9,6991.3,5675.1,3854.1,2611.7,3406.6,2333.4,4428.3,1480.5,6273.1,1998.5,3438.3,1920.3,2997.3,6129,0,3920.5,1113.2,4218.8,2165.6,5226.7,545,7694.7,6750,6263.6,3781.8,7358.7,4608.3,2499.4,4854.9,2551.4,6337.9,3203.4,6056.5,2969.5,4049.5,4339.6
Harold Washtington Library Center,5989,3971.9,4505.4,4640.9,3758.6,1194.1,5430.7,3093.6,3894.1,3917.5,2137.7,1609.3,1574.9,5533.3,3862.9,3762.9,2935.8,7028.6,4677.1,3010.3,5599.8,5071.9,1596.4,850.9,2198.4,2365.7,3923.3,2794.6,2941.8,1387.8,3944.1,1918.2,3652.1,3630.3,7518.8,3573,1266.6,3100.7,824.4,2155.3,2515.6,4182.4,4437.7,4345.3,1839.5,4371.3,2274.7,6181.3,5309.9,2607.2,2822.4,3349,5419.8,4340.6,2015.5,4058.3,5983.6,6567.2,2834.6,4210.1,0,2853.7,3139.5,2337.6,2460,3697.9,5786.8,5056.7,3311.4,1020.5,5426.2,5606.8,2223.4,1121.6,3200.1,4416.4,5107.7,4124,1662.1,5371.8,5255.3
Brighton Park,4374,5056.8,4362.1,3289.4,4566.5,2393.4,6357.5,2381.6,5837.1,4023.9,1643.5,1646.2,2484.7,5115.2,3666.2,3619.6,1731.5,6143.5,1480.7,830.4,2519.5,2329.2,2383.7,3963.1,2632.2,3094.7,2693.2,2989.6,3392.2,3022.6,5587.2,4052.3,1951.9,887.6,7328.2,4644.3,1983.2,4743.8,2162.3,1667.2,3553.7,6091.5,4963.1,5008.4,3316,6014.4,4698.2,4758.1,3515.7,2400.9,1372.1,3422.6,2522.2,5267.4,1021,4342.3,2715.3,4289.1,5152.1,1206.4,2943,0,3213.1,1159.9,4249.8,855.2,6713.6,5770.8,5286.7,2804.9,6353,5512.3,2263.4,3878,3091.2,5332.2,4107.4,5050.8,2080.7,4953.5,5243.6
West Chicago Avenue,7489.3,3139.8,7375.7,6404.7,1367.7,2597.2,3355.3,5390.5,4522.2,913.5,4386.3,3819.7,1852.6,8226.6,6703.4,6633.2,4882.8,9258.8,3946.7,3995.8,5018.8,4107.3,4464.2,2940.9,1183.9,1415.3,5808.5,5658.4,798.1,1975.6,3706.3,2786.3,5066.9,3230.8,10514.6,2550.5,2899.1,3286,3605,1658.5,1877.2,4745.5,1850.6,1895.9,1974.9,4321.9,3384,7873.4,6631,1017.7,2002.6,637.2,5902.2,2296.5,3418.3,7054.1,4548.4,7404.4,3792.4,4163.8,3074.5,3329.9,0,2195.6,2927.4,3970.5,3610.2,2658.3,3976.1,2361.3,3446.8,8525.9,5016.1,2756.2,6070.4,2219.7,7291.9,2681,4415.9,8065.1,8251.1
Little Village,5372.6,3964.6,5355.8,4288,3500,1378.7,5194.5,3358.5,4719.6,2957.4,2355.6,1836,1411.9,6194.6,4671.4,4613.3,2788.4,7142.1,2492.5,1901.4,3564.6,3170.5,2480.5,2777.9,1540,2002.5,3691.8,3719.1,2307.9,1902,4416,2931.7,2972.5,1776.6,8321.9,3366.1,1175.4,3626.3,1916.3,575,2461.5,4974,3896.6,3941.9,2245.1,4896.9,3577.6,5756.7,4514.3,1329.3,687.1,2356.1,3785.5,4104.4,1323.9,5090.6,3611.6,5287.7,4031.5,2401.3,2362.3,1213.2,2146.6,0,3132.3,1853.8,5550.6,4704.3,4169.2,1684.3,5190,6506,2996.2,2692.8,4050.5,4265.7,5182.4,3887.8,2432.2,6033.1,6287.6
Lincoln Belmont,7841,1650.2,6787.3,6492.9,1969.2,2588.8,3287.4,4993.9,1773.2,2889.3,3989.7,3461.3,1941.2,7815.2,6144.8,6044.8,4787.8,9310.5,5708.7,4323.8,6811.4,6201.5,3878.3,1891.6,2088.9,1641.3,5775.3,5076.5,2171.8,1708.6,1622.4,638.4,5504.1,4807.6,9800.7,1492.8,2879.6,779,3106.3,2980.7,1215.8,2078.1,3192.1,2636.1,1067.1,2049.6,596.4,8033.3,7161.9,2918.1,3600.3,3415.5,6625.9,2407.5,3375.4,6340.2,6642.6,8152.5,968.3,5241.7,2340.3,4249.3,2911.8,3115.5,0,4694.2,3810.9,3174.8,1170.8,2019.4,3538.2,7888.7,4505.3,1466.2,5482,2534.5,6959.7,1936.1,3944,7653.7,7537.2
Gage Park,3535.8,5914.8,3523.9,2451.2,5295.6,2830.6,7086.6,1544.8,6274.3,4753,1730,2115.9,2931.1,4277,2828,2781.4,1199.5,5305.3,1016.2,812,2118.9,2407.4,2671.4,4400.3,3361.3,3823.8,1855,2609.1,4121.3,3459.8,6024.4,4489.5,1124.4,1029.1,6490,5486.7,2420.4,5181,2600.1,2396.3,4429.3,6528.7,5692.2,5737.5,3753.2,6451.6,5135.4,3919.9,2677.5,3130,2101.2,4151.7,1933.4,5996.5,1458.8,3504.1,2322.7,3435.6,5589.3,549.2,3380.8,832.8,3942.2,1889,4687,0,7442.7,6499.9,5723.9,3242.1,7082.1,4674.1,1982,4315.2,2349.3,6061.3,3269.2,5779.9,2446,4115.3,4405.4
Oriole Park,11018.9,2595.1,10110.3,9670.8,2343.9,5541.6,1682.5,8171.8,4066.5,2823.8,7167.6,6639.2,4831.9,11007.9,9467.8,9367.8,7965.7,12503.2,7299.2,7250.2,8371.3,6584.2,7201.3,5543,4177.8,3791.4,8953.2,8399.5,3483,4661.4,3270.2,4219,8321.3,6729,13164.5,2623.6,5835.8,3085.9,6266.1,4903.3,3437.6,3897.1,2013.8,1736,3928,3473.5,4252.1,11211.2,10109.6,4502.6,5492.2,3469.8,8997.7,1391.3,6672.7,9704,7025.3,10251.7,3852.6,7645.7,5726.9,6808.5,3639.4,5457.5,3800.1,7449.1,0,1097.5,3535.3,5198.4,836.9,11252.5,7797.4,4944.6,8805,1451.7,10137.6,1902.2,7203.2,10846.4,10901
Dunning,9969.4,2771.5,9402.3,8962.8,1418.9,4833.6,2597.6,7463.8,4242.9,1829.7,6459.6,5931.2,4123.9,10299.9,8759.8,8659.8,7257.7,11795.2,6305.1,6475.9,7377.2,5590.1,6493.3,4728.4,3466.3,3080.7,8245.2,7691.5,2519.3,3953.4,3446.6,3511,7547,5734.9,12456.5,2508.6,5127.8,3348.7,5558.1,4138.6,2729.6,4485.8,1019.7,774.5,3220,4062.2,3564.4,10353.5,9111.1,3504.1,4493.7,2475.7,8003.6,1567.7,5898.4,8996,6031.2,9257.6,3972.8,6651.6,5018.9,5810,2640.9,4675.7,3107.8,6450.6,1043.8,0,3711.7,4490.4,1737.1,10544.5,7089.4,4236.6,8097,1048.4,9429.6,2078.6,6495.2,10138.4,10193
Bezazian,8707.6,1351.6,7653.9,7359.5,2859,3526.2,3025.5,5860.5,730.8,3938.1,4856.3,4327.9,2989.8,8681.8,7011.4,6911.4,5654.4,10177.1,6757.3,5372.4,7860,7250.1,4744.9,2758.2,3125,2690,6641.9,5943.1,3220.6,2641.3,1160.2,1505,6370.7,5856.2,10667.3,1778.7,3801.8,772.4,3972.9,4029.3,2259.3,1241.8,4240.9,3501,2115.7,1517,1212.9,8899.9,8028.5,3966.7,4648.9,4464.3,7674.5,2145.6,4424,7206.8,7691.2,9285.8,506.4,6290.3,3206.9,5297.9,3960.6,4164.1,1225.1,5742.8,3549,3911.9,0,3004.3,3276.3,8755.3,5371.9,2332.8,6348.6,2942,7826.3,1674.2,4810.6,8520.3,8403.8
West Loop,6041.3,3387.8,5179.4,4693.2,3145.3,662,4817.4,3194.2,3462.4,3064.9,2190,1661.6,684,6030.3,4507.1,4436.9,2988.1,7525.6,4231.5,2724,5334.2,4800.7,2273.9,1192.5,1409.5,1801.5,3975.6,3468.1,2325.7,738.6,3367.7,1540,3704.4,3406.8,8286.3,2959.7,907.1,2524.3,1387.9,1533.7,1902.3,3872,4004.1,3732,1226.2,3794.9,1826.7,6233.6,5362.2,1721.8,2199.5,2463.6,5472.1,3727.3,1905,4825.8,5241.8,6619.5,2386.6,3764.5,836.2,2772.1,2254.1,1714.7,1823.8,3217,5173.5,4443.4,2879.7,0,4812.9,6374.3,2819.8,1107.4,3874.1,3803.1,5160,3510.7,2225.6,5868.8,6022.8
Roden,10818.4,2217.8,9909.8,9470.3,2143.7,5341.1,937,7971.3,3638.2,2735.4,6967.1,6438.7,4631.4,10807.4,9267.3,9167.3,7765.2,12302.7,7254.8,7049.7,8326.9,6740.1,7000.8,5284.2,3977.3,3590.9,8752.7,8199,3282.5,4460.9,2841.9,4031,8120.8,6538.9,12964,2364.8,5635.3,2827.1,6065.6,4702.8,3237.1,3277.7,2327,1827.8,3727.5,3121,3993.3,11010.7,9704.8,4321.1,5310.7,3381.4,8976,1116.8,6472.2,9503.5,7181.2,10478.2,3593.8,7471.9,5526.4,6403.7,3457.9,5257,3541.3,7044.3,825.7,1770.4,3276.5,4997.9,0,11052,7596.9,4858.8,8604.5,1343.3,9937.1,1643.4,7002.7,10645.9,10700.5
Jeffery Manor,3288.6,9559.6,1266.7,2910.5,9332.3,6084.8,11004.4,3211.2,9481.8,9283.3,4257.9,4760.1,6743,1669.2,1986.2,1889.6,3954.8,2592.5,4913.1,4777.6,4672.2,6685.4,4164,6419.1,7670.5,7939.4,3025.4,3157.9,8617.2,7011.1,9531.8,7505.9,3884.8,5677.4,1841.9,9146.7,5685.2,8688.4,5102.9,6934.6,8089.3,9770.1,10222.5,9919,7413.2,9959,7862.4,2660.2,3113.9,7657.4,6711.9,8682,4029.9,9914.3,5363.7,1624.2,6133.2,3866.8,8422.3,4602.3,5626.2,5494.4,8472.5,6466.3,8047.7,4688.4,11360.5,10630.4,8899.1,6350.8,10999.9,0,3550.2,6709.3,2444.4,9990.1,2378.5,9697.7,4218,1329.1,845.1
