BRANCH,Walker,Albany Park,Avalon,Brainerd,Portage-Cragin,Little Italy,Edgebrook,Kelly,Edgewater,North Austin,Canaryville,"Daley, Richard J.",Manning,Pullman,"Whitney M. Young, Jr.",Greater Grand Crossing,Sherman Park,Altgeld,West Lawn,Back of the Yards,Scottsdale,Garfield Ridge,King,Water Works,"Daley, Richard M.",Humboldt Park,Thurgood Marshall,Blackstone,North Pulaski,West Town,Budlong Woods,Lincoln Park,West Englewood,Archer Heights,Hegewisch,Independence,Lozano,Sulzer Regional Library,Chinatown,Douglass,Logan Square,Rogers Park,Galewood-Mont Clare,West Belmont,Bucktown-Wicker Park,Northtown,Merlo,West Pullman,Beverly,Legler Regional,Toman,Austin,Wrightwood-Ashburn,Jefferson Park,McKinley Park,South Shore,Clearing,Mount Greenwood,Uptown,Chicago Lawn,Harold Washtington Library Center,Brighton Park,West Chicago Avenue,Little Village,Lincoln Belmont,Gage Park,Oriole Park,Dunning,Bezazian,West Loop,Roden,Jeffery Manor,Hall,Near North,Coleman,Austin-Irving,Woodson Regional Library,Mayfair,Chicago Bee,Vodak-East Side,South Chicago
West Lawn,3511.1,6300.9,3735.9,2663.2,5514,3844.8,7426.5,2137.1,7288.5,4971.4,2723.7,3113.9,3945.3,4489,3040,2993.4,1905.8,5517.3,0,1817,1147.2,2058.7,3669.4,5414.5,3855.5,4330.3,2067,3605,4300.9,4474,6756.8,5503.7,1517.2,797.8,6702,5713.3,3434.6,6195.2,3614.3,2890.2,4789.3,7542.9,5496,5688.2,4767.4,7465.8,6149.6,4131.9,2889.5,3348.4,2132.8,4370.1,1728.4,6356.5,2473,3716.1,1432.5,3027.6,6603.5,572.1,4395,1546.6,4160.6,2553.5,5701.2,1019.5,7327.9,6383.2,6738.1,4256.3,7506.8,4886.1,2973.9,5329.4,2829.2,6279.7,3481.2,6119.8,3444,4327.3,4617.4
Back of the Yards,3664.9,5588.1,3603,2504.2,5249.8,2272.3,7040.8,1594.2,5947.6,4707.2,1232,1442.6,2604.4,4347.7,2907.1,2860.5,950.5,5434.4,1812.4,0,2848.6,2831.7,2077.9,3907.2,3163.1,3641.1,1931.3,2167.7,4075.5,3133.1,5697.7,4162.8,1178.6,1399.8,6569.1,5160,1879,4854.3,2177.8,2375.3,4102.6,6202,5646.4,5691.7,3426.5,6124.9,4548.8,4049,2806.6,3084.2,2055.4,4105.9,2738.6,5950.7,1178.5,3583.2,3118.9,3941,5108.7,1345.4,2958.5,828.9,3896.4,1843.2,4360.3,819.8,7396.9,6454.1,5397.2,2729.3,7036.3,4753.2,1540.6,3822.1,2302,6015.5,3339.9,5734.1,1852.5,4186,4484.5
Scottsdale,2811,7340.2,3499,2033.3,6553.3,4936.6,8465.8,2754.7,8380.3,6010.7,3589.8,3975.7,5037.1,3823.1,2822.4,3226.5,2776.5,4964.3,1057.6,2829.5,0,2841.6,4521.6,6440.3,4894.8,5369.6,2220.4,4369.3,5340.2,5565.8,7796.1,6595.5,2195.6,1837.1,6502.5,6752.6,4526.4,7287,4710.9,3929.5,5828.6,8634.7,6529.5,6721.7,5859.2,8557.6,7241.4,3578.9,2073.4,4387.7,3172.1,5409.4,907.6,7395.8,3564.8,3954.3,2289.4,2251.7,7695.3,1560.9,5491.6,2522.9,5199.9,3577.3,6793,2006,8361.4,7416.7,7829.9,5348.1,8546.1,4686.6,3738.2,6355.2,3326.6,7319,2833.1,7159.1,4305.8,3717,4417.9
Garfield Ridge,5222.4,6849.8,5427.8,4355.1,5252.6,4328.7,6972.5,3790,7669.6,4201.4,3812.9,3934.4,4361.9,6180.9,4731.9,4685.3,3379.9,7209.2,2076.2,2799,2803.7,0,4671.9,5727.9,4404.4,4879.2,3758.9,4692,4849.8,4852,7305.7,5881.7,3369.6,1506,8393.9,6262.2,4271.4,6576.3,4450.5,3439.1,5338.2,7924,4751,4943.2,5195.1,7846.9,6527.6,5823.8,4484.8,3897.3,2681.7,3690.5,3439.7,6095.1,3309.2,5408,608.4,4684.1,6981.5,2422.7,5231.2,2388.1,4255.2,3037.1,6082.3,2424.2,6582.9,5638.2,7119.2,4634.3,6664.3,6578,4064.9,5642.8,4521.1,5564.4,5173.1,6482.7,4528.9,6019.2,6309.3
King,4757.3,5517.2,2957,3607.7,5274.7,2027.2,6946.8,1852.3,5494,5220.8,1027.7,792.4,2680.5,3984.9,2314.5,2214.5,1922.4,5480.2,3663.7,2066.9,4581.1,4696.4,0,2431.3,3608,3881.8,2892.1,1293.6,4554.7,2953.5,5497.1,3518.1,2638.7,3264.5,5923.1,5089.1,1622.7,4653.7,1061.4,2872.1,4031.7,5782.3,6160,5861.4,3355.6,5924.3,3874.6,4965.4,4164.2,3594.9,2870.2,4619.5,4386.6,5856.7,1522,2709.5,4970.2,5335.5,4434.5,3196.7,1638.4,2321.2,4410,2472.6,4059.9,2684.5,7302.9,6572.8,4911.3,2293.2,6942.3,4107.2,823.1,2721.5,1651.7,5932.5,3712.6,5640.1,352.8,3823.4,3906.5
Water Works,6913.3,3394.7,5560,5565.2,3659.3,1813.9,5031.9,4066.2,3454.1,3707.7,3062,2533.6,1796.8,6587.9,4917.5,4817.5,3860.1,8083.2,5331.9,3824.4,6524.1,5898.4,2651,0,2242.5,2204.3,4847.6,3849.2,2780.4,1226.4,3366.9,1492.1,4576.4,4504.5,8573.4,3121.7,2007.5,2523.5,1879,2631.4,2308.2,3605.2,4227.9,4246,1762.9,3794.1,1693.7,7105.6,6234.2,2829.1,3297.2,3570.9,6344.1,4152,3005.4,5112.9,6339.5,7491.5,2219.3,4864.9,852.3,3872.5,2964.2,2812.4,1882.8,4317.4,5555.4,4803.7,2682.3,1242.4,5282.7,6661.4,3278,586.6,4254.7,4163.4,6032,3680.6,2716.7,6426.4,6309.9
"Daley, Richard M.",6723,2479.2,6517.5,5523.4,2190.9,1739,3880.8,4532.3,3604.4,1826.1,3528.1,2961.5,994.4,7368.4,5845.2,5775,4006.7,8492.5,3798.7,3119.7,4870.8,4476.7,3606,2177,0,517.1,5034,4800.2,1067.7,926.6,2930.6,1900.5,4190.8,3082.8,9656.4,2051.1,2040.9,2405.7,2746.8,990,976.1,3865.7,2763.2,2723.1,1077.4,3544.5,2517.5,7107.1,5864.7,887.9,1875.5,1597.1,5135.9,2790.7,2542.2,6195.9,4917.8,6638.1,2925.9,3751.7,2216.3,2563.6,1092.1,1409.2,2060.9,3204.2,4236.9,3485.5,3095.8,1397.4,3876.3,7667.7,4157.9,1893.1,5212.2,2866.5,6433.7,2574.1,3557.7,7206.9,7392.9
Humboldt Park,7188.2,2107.7,6736.9,6311.5,1812.5,2082.6,3499.6,4798.4,3185.7,1760.8,3794.2,3305.1,1345.4,7634.5,6094.4,5994.4,4606.4,9129.8,4258,3584.9,5330.1,4936,3827.9,2168.7,512.5,0,5593.9,5026.1,731.3,1279.4,2514.7,1500.5,4656,3542.1,9791.1,1679.6,2384.5,1987,2892.7,1439.7,639.7,3447,2281,2344.7,649.9,3128.6,2098.8,7837.8,6329.9,1360.6,2334.8,1933.4,5601.1,2409.5,3007.4,6330.6,5377.1,7103.3,2507.2,4216.9,2353.5,3028.8,1392.4,1874.4,1642.2,3669.4,3855.7,3107.1,2677.1,1794.5,3495.1,7879.1,4424,1858.6,5431.6,2485.3,6764.2,2192.9,3829.8,7473,7527.6
Thurgood Marshall,2243.8,7166.8,1840.9,851.9,6924.3,3658.1,8596.4,1105.9,7090.1,6567,1955.6,2345.8,4322.6,2527.2,1067.2,1476.8,1234.6,3821.5,2081.1,1957.8,2252.4,3853.6,2882.5,4810.4,5250.1,5597.6,0,2730.2,5917.5,4603.1,7146.7,5112.2,1054.5,2844.6,4844.4,6738.7,3264.8,6303.3,3081,4185.2,5681.3,7378.4,7506.2,7511,5005.2,7573.9,5452,2436.1,1528.8,4929.5,3931,5965.7,1585.1,7506.3,2542.9,2204.6,3301.4,2822,6011.9,1769.5,3861.7,2662.6,5756.2,3747.4,5602.8,1856.6,8952.5,8222.4,6507.4,3942.8,8591.9,3028.5,2099.1,4725.3,1667.7,7582.1,1501.1,7289.7,2675.9,2365.5,2759.8
Blackstone,4585.1,6559.9,2110.2,3341.1,6317.4,3069.9,7989.5,1713.8,6481.7,6263.5,1472.1,1857.3,3723.2,3809.3,2078.8,1644.1,1769.9,5135,3637,2107.9,4442.6,4640.9,1156.5,3419,4650.7,4924.5,2753.6,0,5597.4,3996.2,6531.7,4505.8,2504.5,3209,5096.6,6131.8,2665.4,5688.3,2049.1,3914.8,5074.4,6770,7202.7,6904.1,4398.3,6958.9,4862.3,4789.8,3992,4637.6,3809.1,5662.2,4248.1,6899.4,2460.9,1636.1,4918.4,5163.3,5422.2,3144.9,2626.1,2864.6,5452.7,3515.3,5047.6,2629,8345.6,7615.5,5899,3335.9,7985,3200.6,774.9,3709.2,1125.3,6975.2,3540.4,6682.8,1252.9,3647.8,2833.1
